手を[まね]いてバスを止める。|友だちを家に[まね]く。|みんなを[しょう]集して話し合う。,招,62db
新しい学校に[うつ]る。|いすを右に[うつ]す。|[い]動教室で理科室に行く。,移,79fb
買い物に[ぜい]金がかかる。|おもい[ぜい]きんで、くらしが苦しくなる。|国の[ぜい]金について考える。,税,7a0e
新しいビルを建[ちく]する。|友情を[きず]く。|[しん]ちくの家に住む。,築,7bc9
[せい]神を集中してがんばる。|農家は米を[せい]米する。|買い物のお金を[せい]算してはらう。,精,7cbe
みんなを[しん]じる。|テストに[じ]しんを持つ。|手紙で[つう]しんする。,信,4fe1
新しい[せい]きが始まる。|旅の[き]行文を書く。|学校の[ふう]きを守る。,紀,7d00
[す]直に話を聞く。|[す]早く動く。|[へい]そから練習しておく。,素,7d20
新しい[けい]験をする。|月日が[へ]つ。|バスの[けい]路を調べる。,経,7d4c
みんなの意見を[とう]一する。|天気の[とう]計を取る。|村の[でん]とうを守る。,統,7d71
水の音が[た]える。|あまいおかしを食べるのを[た]つと決めた。|びっくりして気[ぜつ]しそうになる。,絶,7d76
[わた]でできたふとんはあたたかい。|[も]めんの服を着る。|[めん]花畑を見学する。,綿,7dbf
みんなの[そう]数を数える。|村[そう]出でそうじをする。|全体を[そう]合して考える。,総,7dcf
毛糸でマフラーを[あ]む。|文集を[へん]集する。|[ちょう]へんの物語を読む。,編,7de8
テストの[せい]せきが上がる。|村のために[こう]せきを立てる。|これまでの[じっ]せきを調べる。,績,7e3e
毛糸でぬのを[お]る。|会の[そ]しきを作る。|美しい[お]り物を見る。,織,7e54
うそをつくのは[つみ]だ。|犯[ざい]がない町にする。|[ざい]人をつかまえる。,罪,7f6a
[せい]ぎの味方になる。|[ぎ]理を大切にする。|勉強の[い]ぎを考える。,義,7fa9
畑を[たがや]す。|昔の[のう]こうの様子を学ぶ。|広い[こう]地で米を作る。,耕,8015
学校の[しょく]員室に行く。|うでのいい[しょく]人に会う。|[しょく]場でみんなが仕事をする。,職,8077
土地が[こ]える。|畑を[こ]やす。|[こ]やしを土に混ぜる。,肥,80a5
走る[のう]力を高める。|絵の[さい]のうがある。|動物の[ほん]のうについて学ぶ。,能,80fd
高い山[みゃく]を地図で見る。|血を送る[どう]みゃくについて学ぶ。|山[みゃく]の写真をとる。,脈,8108
生き物に[きょう]味を持つ。|絵をかくことに[きょう]味がある。|みんなが[きょう]味を持つ話をする。,興,8208
新しい[こう]しゃで学ぶ。|[いな]かのおじいさんの家に行く。|[ぎゅう]しゃで牛の世話をする。,舎,820e
船で[こう]海に出る。|[こう]空写真をとる。|船が[しゅっ]こうする朝を見る。,航,822a
新しい[ぎ]じゅつを学ぶ。|[び]じゅつが好きで絵をかく。|けがをして[しゅ]じゅつをする。,術,8853
食事の前に[えい]生に気をつける。|学校の[しゅ]えいさんにあいさつする。|月のまわりを回る[えい]星について学ぶ。,衛,885b
作品を[せい]作する。|[て]せいのパンを食べる。|店で[せい]品を売る。,製,88fd
